RANK,PATTERN,COUNT,SEQUENCES
1,"[property, existence, process]",6,"[[42535, 42537, 42540], [36614, 36636, 36638], [36636, 36638, 36639], [34165, 34168, 34186], [23474, 23476, 23477], [12787, 12805, 12810]]"
2,"[technology, existence, process]",6,"[[40231, 40249, 40254], [36636, 36638, 36639], [23403, 23433, 23469], [23403, 23433, 23471], [23474, 23476, 23477], [17585, 17597, 17600]]"
3,"[existence, process, property]",5,"[[42537, 42540, 42551], [34168, 34186, 34253], [32829, 32832, 32951], [23433, 23469, 23474], [23433, 23471, 23496]]"
4,"[existence, property, technology]",4,"[[34103, 34109, 34145], [28985, 28986, 29006], [23384, 23395, 23399], [23384, 23395, 23403]]"
5,"[property, technology, existence]",4,"[[42282, 42283, 42289], [36614, 36636, 36638], [23395, 23403, 23433], [18904, 18916, 18938]]"
6,"[property, process, existence]",3,"[[36614, 36633, 36634], [36614, 36636, 36638], [33236, 33246, 33249]]"
7,"[process, existence, technology]",3,"[[41724, 41734, 41833], [30934, 30935, 30937], [17600, 17618, 17623]]"
8,"[technology, existence, property]",3,"[[34101, 34103, 34109], [18916, 18938, 18951], [4367, 4370, 4371]]"
9,"[process, technology, existence]",3,"[[40190, 40231, 40249], [36614, 36636, 36638], [23469, 23474, 23476]]"
10,"[existence, process, technology]",3,"[[30953, 30969, 30981], [23433, 23469, 23474], [23433, 23471, 23496]]"
11,"[technology, process, existence]",2,"[[40118, 42170, 42249], [30981, 31048, 31050]]"
12,"[process, property, existence]",2,"[[36614, 36636, 36638], [23469, 23474, 23476]]"
13,"[technology, property, process]",2,"[[39719, 39720, 39721], [33204, 33236, 33246]]"
14,"[property, technology, process]",2,"[[40787, 40801, 40802], [36614, 36636, 36638]]"
15,"[existence, technology, process]",2,"[[40099, 40118, 42170], [36614, 36636, 36638]]"
16,"[property, existence, technology]",2,"[[29579, 29580, 29582], [25084, 25085, 25086]]"
17,"[existence, property, process]",2,"[[41702, 41704, 41709], [36614, 36636, 36638]]"
18,"[existence, technology, property]",1,"[[33186, 33204, 33236]]"
19,"[technology, property, existence]",1,"[[18916, 18920, 18924]]"
20,"[process, property, technology]",1,"[[40786, 40787, 40801]]"
21,"[property, process, technology]",1,"[[39720, 39721, 39724]]"
22,"[process, technology, property]",0,[]
23,"[technology, process, property]",0,[]
24,"[process, existence, property]",0,[]
