N,NDCG,PRECISION
1,1.0,1.0
2,1.0,0.5
3,1.0,0.3333333333333333
4,0.7074887171046739,0.5
5,0.7074887171046739,0.4
6,0.7076286422500169,0.5
7,0.692766053281185,0.5714285714285714
8,0.692766053281185,0.5
9,0.692766053281185,0.4444444444444444
10,0.692766053281185,0.4
11,0.692766053281185,0.36363636363636365
12,0.6923146918261422,0.4166666666666667
13,0.6923146918261422,0.38461538461538464
14,0.6923146918261422,0.35714285714285715
15,0.6923146918261422,0.3333333333333333
16,0.6922702787722488,0.375
17,0.6922702787722488,0.35294117647058826
18,0.6922702787722488,0.3333333333333333
19,0.6835136051851257,0.3684210526315789
20,0.679440788705515,0.4
21,0.63878702894685,0.42857142857142855
22,0.6401122375497498,0.45454545454545453
23,0.6401122375497498,0.43478260869565216
24,0.6401122375497498,0.4166666666666667
25,0.6391453202214437,0.44
26,0.6391453202214437,0.4230769230769231
27,0.6401174546882757,0.4444444444444444
28,0.6401174546882757,0.42857142857142855
29,0.6238670879401477,0.4482758620689655
30,0.6238670879401477,0.43333333333333335
31,0.6238670879401477,0.41935483870967744
32,0.6251061878665588,0.4375
33,0.6251061878665588,0.42424242424242425
34,0.6251061878665588,0.4117647058823529
35,0.6264455269257144,0.42857142857142855
36,0.6264455269257144,0.4166666666666667
37,0.6277484292764868,0.43243243243243246
38,0.6261179774054074,0.4473684210526316
39,0.6261179774054074,0.4358974358974359
40,0.6279108408517137,0.45
41,0.6279108408517137,0.43902439024390244
42,0.6279108408517137,0.42857142857142855
43,0.6279108408517137,0.4186046511627907
44,0.6279108408517137,0.4090909090909091
45,0.6290732700249343,0.4222222222222222
46,0.6290732700249343,0.41304347826086957
47,0.6297625738735243,0.425531914893617
48,0.6297625738735243,0.4166666666666667
49,0.6293507580107134,0.42857142857142855
50,0.6309036827924265,0.44
51,0.6309036827924265,0.43137254901960786
52,0.6309036827924265,0.4230769230769231
53,0.6314657153833381,0.4339622641509434
54,0.6231002508846037,0.4444444444444444
55,0.6231002508846037,0.43636363636363634
56,0.6231002508846037,0.42857142857142855
57,0.624263629179752,0.43859649122807015
58,0.624263629179752,0.43103448275862066
59,0.624263629179752,0.423728813559322
60,0.624263629179752,0.4166666666666667
61,0.624263629179752,0.4098360655737705
62,0.624263629179752,0.4032258064516129
63,0.6255293760479397,0.4126984126984127
64,0.6255293760479397,0.40625
65,0.6255293760479397,0.4
66,0.6255293760479397,0.3939393939393939
67,0.6256712619101386,0.40298507462686567
68,0.6256712619101386,0.39705882352941174
69,0.6256712619101386,0.391304347826087
70,0.6256712619101386,0.38571428571428573
71,0.6256712619101386,0.38028169014084506
72,0.626793723881481,0.3888888888888889
73,0.626793723881481,0.3835616438356164
74,0.6277285861015105,0.3918918918918919
75,0.6286724207138957,0.4
