N,NDCG,PRECISION
1,0.32967032967032966,1.0
2,0.20213643717542587,0.5
3,0.15470727231519446,0.3333333333333333
4,0.12869671977761596,0.25
5,0.11251402867664521,0.2
6,0.11281190199189975,0.3333333333333333
7,0.1042464988628509,0.2857142857142857
8,0.09725790107076066,0.25
9,0.0916607461181234,0.2222222222222222
10,0.087077786843445,0.2
11,0.08326141959836822,0.18181818181818182
12,0.07987017813346863,0.16666666666666666
13,0.07698309593273274,0.15384615384615385
14,0.07436354588580946,0.14285714285714285
15,0.0721003791515884,0.13333333333333333
16,0.08022264652571177,0.1875
17,0.07801108524630561,0.17647058823529413
18,0.07750552104714455,0.2222222222222222
19,0.07714847864192216,0.2631578947368421
20,0.07538354216623658,0.25
21,0.0738240434325438,0.23809523809523808
22,0.07234854999157012,0.22727272727272727
23,0.07094949900227981,0.21739130434782608
24,0.06962028011480183,0.20833333333333334
25,0.06965098829934094,0.24
26,0.06850103261312747,0.23076923076923078
27,0.07207386367620079,0.25925925925925924
28,0.07334715527316256,0.2857142857142857
29,0.07238254241179008,0.27586206896551724
30,0.07145182833372075,0.26666666666666666
31,0.0705529501597279,0.25806451612903225
32,0.07386513966734,0.28125
33,0.07304661496267,0.2727272727272727
34,0.07232396761365902,0.2647058823529412
35,0.07259297280981823,0.2857142857142857
36,0.07189942825857706,0.2777777777777778
37,0.07693307213855148,0.2972972972972973
38,0.07629197462966084,0.2894736842105263
39,0.07657777226052559,0.3076923076923077
40,0.07595844626736409,0.3
41,0.07535295509710369,0.2926829268292683
42,0.07476073955591023,0.2857142857142857
43,0.0741812743677473,0.27906976744186046
44,0.07367665991233963,0.2727272727272727
45,0.07318170277667438,0.26666666666666666
46,0.07269606120846431,0.2608695652173913
47,0.07385859731345733,0.2765957446808511
48,0.07338001263371807,0.2708333333333333
49,0.07291001432097725,0.2653061224489796
50,0.07250571227100848,0.26
51,0.07210782359551475,0.2549019607843137
52,0.07171615591385547,0.25
53,0.07133052582271307,0.24528301886792453
54,0.07095075831856129,0.24074074074074073
55,0.07138363359427848,0.2545454545454545
56,0.07106365510830386,0.25
57,0.07074788470864823,0.24561403508771928
58,0.07043621446240114,0.2413793103448276
59,0.07012854084545249,0.23728813559322035
60,0.06982476449070962,0.23333333333333334
61,0.06952478995477962,0.22950819672131148
62,0.06922852550147175,0.22580645161290322
63,0.06898448473272531,0.2222222222222222
64,0.06874305535905544,0.21875
65,0.06919915919060181,0.23076923076923078
66,0.07034059340234154,0.24242424242424243
67,0.07009956287072068,0.23880597014925373
68,0.06990858346992583,0.23529411764705882
69,0.06971928340057519,0.2318840579710145
70,0.06953163057753602,0.22857142857142856
71,0.06934559396082593,0.22535211267605634
72,0.06916114350655743,0.2222222222222222
73,0.06897825012087411,0.2191780821917808
74,0.06879688561665581,0.21621621621621623
75,0.06861702267278927,0.21333333333333335
