N,NDCG,PRECISION
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0061585178121288464,0.25
5,0.005384128289492068,0.2
6,0.008816485096769416,0.3333333333333333
7,0.008147081002860037,0.2857142857142857
8,0.010648142108409028,0.375
9,0.010035345608769322,0.3333333333333333
10,0.009533586871468153,0.3
11,0.009115757365422273,0.2727272727272727
12,0.00874447214700174,0.25
13,0.008428384084092308,0.23076923076923078
14,0.00814158639616529,0.21428571428571427
15,0.00789380682519268,0.2
16,0.007665508051488987,0.1875
17,0.007454186915527511,0.17647058823529413
18,0.0072577799280590305,0.16666666666666666
19,0.007085087810674541,0.15789473684210525
20,0.011212464848898113,0.2
21,0.010980506728717563,0.19047619047619047
22,0.014758368378801612,0.22727272727272727
23,0.014472976206006457,0.21739130434782608
24,0.014201829071755021,0.20833333333333334
25,0.015173646693995077,0.24
26,0.014923125894184418,0.23076923076923078
27,0.014700217229412903,0.2222222222222222
28,0.014502341043487738,0.21428571428571427
29,0.014311615927585706,0.20689655172413793
30,0.01412759334451662,0.2
31,0.013949865417820033,0.1935483870967742
32,0.01687435644626153,0.21875
33,0.017694760488471763,0.24242424242424243
34,0.017519706904333566,0.23529411764705882
35,0.017349419049244266,0.22857142857142856
36,0.01718366478153675,0.2222222222222222
37,0.0189189504751175,0.24324324324324326
38,0.01968720478864002,0.2631578947368421
39,0.02043761787959311,0.28205128205128205
40,0.022968175298658435,0.3
41,0.02278508799206214,0.2926829268292683
42,0.023479261744312547,0.30952380952380953
43,0.023297275652342176,0.3023255813953488
44,0.023138797085264604,0.29545454545454547
45,0.02298335148360882,0.28888888888888886
46,0.022830831517090897,0.2826086956521739
47,0.023500728350675324,0.2978723404255319
48,0.023348449686302453,0.2916666666666667
49,0.023198903078666223,0.2857142857142857
50,0.02544678280525942,0.3
51,0.025307138818753686,0.29411764705882354
52,0.025169678167518784,0.28846153846153844
53,0.027338838683625192,0.3018867924528302
54,0.027953864264242085,0.3148148148148148
55,0.02782744288968085,0.3090909090909091
56,0.027702705851286397,0.30357142857142855
57,0.028320190349902803,0.3157894736842105
58,0.028195429578093612,0.3103448275862069
59,0.028072268646377956,0.3050847457627119
60,0.027950667778372556,0.3
61,0.02783058876834071,0.29508196721311475
62,0.02771199489452892,0.2903225806451613
63,0.027614306022946428,0.2857142857142857
64,0.0275176624858775,0.28125
65,0.02742204155451008,0.27692307692307694
66,0.02732742131016765,0.2727272727272727
67,0.02860442887318798,0.2835820895522388
68,0.028526498905260007,0.27941176470588236
69,0.02844925419576851,0.2753623188405797
70,0.02837268165223673,0.2714285714285714
71,0.028296768608666024,0.2676056338028169
72,0.028886470987825524,0.2777777777777778
73,0.029471195298197698,0.2876712328767123
74,0.029393706688170453,0.28378378378378377
75,0.029316859624982986,0.28
