N,NDCG,PRECISION
1,0.07326007326007326,1.0
2,0.044919208261205754,0.5
3,0.034379393847820995,0.3333333333333333
4,0.02859927106169244,0.25
5,0.025003117483698937,0.2
6,0.0583280931689058,0.3333333333333333
7,0.053899450242769584,0.2857142857142857
8,0.05028607633505622,0.25
9,0.04739213190371713,0.2222222222222222
10,0.04502256565367787,0.2
11,0.04304935697350171,0.18181818181818182
12,0.04558332795779219,0.25
13,0.04393561891453288,0.23076923076923078
14,0.042440595218814874,0.21428571428571427
15,0.04114896580368108,0.2
16,0.04336138640300023,0.25
17,0.042166008696787195,0.23529411764705882
18,0.041054995673427866,0.2222222222222222
19,0.04007813026798269,0.21052631578947367
20,0.04774018446270586,0.25
21,0.0467525583167804,0.23809523809523808
22,0.05381278231711682,0.2727272727272727
23,0.0527721695288025,0.2608695652173913
24,0.05178349779105533,0.25
25,0.05090411669015676,0.24
26,0.050063676663836654,0.23076923076923078
27,0.04931586903976255,0.2222222222222222
28,0.04977377017035192,0.25
29,0.05021512315982359,0.27586206896551724
30,0.04956944368381197,0.26666666666666666
31,0.0520908998407126,0.2903225806451613
32,0.051502211010294584,0.28125
33,0.05093149751476873,0.2727272727272727
34,0.050427634171080364,0.2647058823529412
35,0.04993748820533381,0.2571428571428571
36,0.0494603914353997,0.25
37,0.04904179743665105,0.24324324324324326
38,0.048633123074713,0.23684210526315788
39,0.048233939385487645,0.23076923076923078
40,0.04874246118857269,0.25
41,0.04835391809275213,0.24390243902439024
42,0.047973893955208735,0.23809523809523808
43,0.047602051706820143,0.23255813953488372
44,0.04727824110093538,0.22727272727272727
45,0.046960627587748806,0.2222222222222222
46,0.04747850516865275,0.2391304347826087
47,0.04798679357594206,0.2553191489361702
48,0.04767585151813681,0.25
49,0.048971735846855304,0.2653061224489796
50,0.0487001768109971,0.26
51,0.0484329254698171,0.2549019607843137
52,0.048169852606307184,0.25
53,0.04791083503329059,0.24528301886792453
54,0.047655755205509104,0.24074074074074073
55,0.0474402320126552,0.23636363636363636
56,0.04722758027654477,0.23214285714285715
57,0.047758306257166386,0.24561403508771928
58,0.047547913492311106,0.2413793103448276
59,0.0480682381280868,0.2542372881355932
60,0.04786002056101033,0.25
61,0.04765440887635797,0.2459016393442623
62,0.04745134019535014,0.24193548387096775
63,0.05221927382263358,0.25396825396825395
64,0.0527364713968376,0.265625
65,0.05255321780418289,0.26153846153846155
66,0.05237188198716401,0.25757575757575757
67,0.05287774754850909,0.26865671641791045
68,0.05273368729864962,0.2647058823529412
69,0.05259089380796126,0.2608695652173913
70,0.05244934287387441,0.2571428571428571
71,0.05230901108220094,0.2535211267605634
72,0.05283484395243748,0.2638888888888889
73,0.052695124696760416,0.2602739726027397
74,0.05255657341213661,0.25675675675675674
75,0.05241916922692221,0.25333333333333335
