N,NDCG,PRECISION
1,1.0,1.0
2,1.0,0.5
3,0.8298369633142304,0.6666666666666666
4,0.8298369633142304,0.5
5,0.5355305011247661,0.6
6,0.485783225066335,0.6666666666666666
7,0.485783225066335,0.5714285714285714
8,0.485783225066335,0.5
9,0.485783225066335,0.4444444444444444
10,0.5001415086302143,0.5
11,0.514583514214614,0.5454545454545454
12,0.514583514214614,0.5
13,0.5275413615766298,0.5384615384615384
14,0.5275413615766298,0.5
15,0.5275413615766298,0.4666666666666667
16,0.5370283632318852,0.5
17,0.5370283632318852,0.47058823529411764
18,0.5370283632318852,0.4444444444444444
19,0.5370283632318852,0.42105263157894735
20,0.5370283632318852,0.4
21,0.5370283632318852,0.38095238095238093
22,0.5370283632318852,0.36363636363636365
23,0.5184928524809953,0.391304347826087
24,0.5232733383015817,0.4166666666666667
25,0.5232733383015817,0.4
26,0.527669416304651,0.4230769230769231
27,0.527669416304651,0.4074074074074074
28,0.527669416304651,0.39285714285714285
29,0.527669416304651,0.3793103448275862
30,0.5333315576908828,0.4
31,0.5333315576908828,0.3870967741935484
32,0.5354036942861341,0.40625
33,0.5354036942861341,0.3939393939393939
34,0.5361608365208421,0.4117647058823529
35,0.5361608365208421,0.4
36,0.5361608365208421,0.3888888888888889
37,0.5399489046554512,0.40540540540540543
38,0.5425529180969133,0.42105263157894735
39,0.5425529180969133,0.41025641025641024
40,0.5425529180969133,0.4
41,0.5425529180969133,0.3902439024390244
42,0.54434822363742,0.40476190476190477
43,0.54434822363742,0.3953488372093023
44,0.5372929351932374,0.4090909090909091
45,0.5372929351932374,0.4
46,0.5372929351932374,0.391304347826087
47,0.5372929351932374,0.3829787234042553
48,0.5372929351932374,0.375
49,0.5372929351932374,0.3673469387755102
50,0.5389917076921349,0.38
51,0.5389917076921349,0.37254901960784315
52,0.5389917076921349,0.36538461538461536
53,0.542458943054928,0.37735849056603776
54,0.542458943054928,0.37037037037037035
55,0.542458943054928,0.36363636363636365
56,0.542458943054928,0.35714285714285715
57,0.542458943054928,0.3508771929824561
58,0.542458943054928,0.3448275862068966
59,0.542458943054928,0.3389830508474576
60,0.5442540057941153,0.35
61,0.5458329556843043,0.36065573770491804
62,0.5458329556843043,0.3548387096774194
63,0.5468172562736199,0.36507936507936506
64,0.5468172562736199,0.359375
65,0.5468172562736199,0.35384615384615387
66,0.5468172562736199,0.3484848484848485
67,0.5475709472612686,0.3582089552238806
68,0.5496492926432104,0.36764705882352944
69,0.5496492926432104,0.36231884057971014
70,0.5496492926432104,0.35714285714285715
71,0.543822895588568,0.36619718309859156
72,0.543822895588568,0.3611111111111111
73,0.5463892590858164,0.3698630136986301
74,0.5463892590858164,0.36486486486486486
75,0.5486483371188343,0.37333333333333335
