N,NDCG,PRECISION
1,0.07326007326007326,1.0
2,0.0590896407606395,1.0
3,0.07100943047785763,1.0
4,0.059070789879600225,0.75
5,0.07098811334909529,0.8
6,0.06761291528636815,0.8333333333333334
7,0.06247930911598769,0.7142857142857143
8,0.058290748670290875,0.625
9,0.05493613841219495,0.5555555555555556
10,0.059689250563269104,0.6
11,0.059379933253334974,0.6363636363636364
12,0.056961385830014005,0.5833333333333334
13,0.0709678080986986,0.6153846153846154
14,0.06855294386412132,0.5714285714285714
15,0.06646661594312032,0.5333333333333333
16,0.07305056870343221,0.5625
17,0.0710367257777774,0.5294117647058824
18,0.06916501133490842,0.5
19,0.0675192942733907,0.47368421052631576
20,0.06597464598772898,0.45
21,0.06460979400655244,0.42857142857142855
22,0.06331846230963127,0.4090909090909091
23,0.06338320871600157,0.43478260869565216
24,0.06719166706482203,0.4583333333333333
25,0.06605062629555827,0.44
26,0.06849802562890338,0.46153846153846156
27,0.06747486174616925,0.4444444444444444
28,0.06656659841374413,0.42857142857142855
29,0.06569115891334937,0.41379310344827586
30,0.0734186626318395,0.43333333333333335
31,0.07249504129222488,0.41935483870967744
32,0.07373052219062838,0.4375
33,0.07291348922794742,0.42424242424242425
34,0.07318145503599184,0.4411764705882353
35,0.07538608344258026,0.45714285714285713
36,0.07466585384752032,0.4444444444444444
37,0.0759146553326333,0.4594594594594595
38,0.07805977275249873,0.47368421052631576
39,0.07741905329840229,0.46153846153846156
40,0.07679292340903264,0.45
41,0.07706648560855167,0.4634146341463415
42,0.07908054344768616,0.47619047619047616
43,0.0784675957660401,0.46511627906976744
44,0.0787841301478158,0.4772727272727273
45,0.07825486121189719,0.4666666666666667
46,0.07773555362438474,0.45652173913043476
47,0.07722586168890991,0.44680851063829785
48,0.07672545800364738,0.4375
49,0.07623403214377486,0.42857142857142855
50,0.07660347193181453,0.44
51,0.07618309603272337,0.43137254901960786
52,0.07576929271545589,0.4230769230769231
53,0.07920270521098663,0.4339622641509434
54,0.07878102580608774,0.42592592592592593
55,0.0784247385508588,0.41818181818181815
56,0.07807319817891462,0.4107142857142857
57,0.07772628096850973,0.40350877192982454
58,0.07738386834049846,0.39655172413793105
59,0.07704584655940873,0.3898305084745763
60,0.0788779604092988,0.4
61,0.08068714500616099,0.4098360655737705
62,0.08034331465557999,0.4032258064516129
63,0.08570032873374725,0.4126984126984127
64,0.08540039786132492,0.40625
65,0.08510364062088567,0.4
66,0.0848099889883487,0.3939393939393939
67,0.08657534973146352,0.40298507462686567
68,0.08838278528444234,0.4117647058823529
69,0.08814346034674074,0.4057971014492754
70,0.08790621796042025,0.4
71,0.08833991092216892,0.4084507042253521
72,0.0887699061845116,0.4166666666666667
73,0.09184072445973476,0.4246575342465753
74,0.09159924765466214,0.4189189189189189
75,0.09462777674615354,0.4266666666666667
