N,NDCG,PRECISION
1,1.0,1.0
2,1.0,0.5
3,1.0,0.3333333333333333
4,1.0,0.25
5,0.4970183880022496,0.4
6,0.4970183880022496,0.3333333333333333
7,0.4970183880022496,0.2857142857142857
8,0.4970183880022496,0.25
9,0.4970183880022496,0.2222222222222222
10,0.5007041502780315,0.3
11,0.5030845222259053,0.36363636363636365
12,0.5030845222259053,0.3333333333333333
13,0.5030845222259053,0.3076923076923077
14,0.5030845222259053,0.2857142857142857
15,0.5030845222259053,0.26666666666666666
16,0.5088088262502991,0.3125
17,0.5088088262502991,0.29411764705882354
18,0.5088088262502991,0.2777777777777778
19,0.5139544187964211,0.3157894736842105
20,0.5012522869663373,0.35
21,0.5012522869663373,0.3333333333333333
22,0.5012522869663373,0.3181818181818182
23,0.5012522869663373,0.30434782608695654
24,0.5035141792778183,0.3333333333333333
25,0.5035141792778183,0.32
26,0.5035141792778183,0.3076923076923077
27,0.5088708396759679,0.3333333333333333
28,0.5088708396759679,0.32142857142857145
29,0.5156918962659107,0.3448275862068966
30,0.5191470845172999,0.36666666666666664
31,0.5191470845172999,0.3548387096774194
32,0.5238153578199348,0.375
33,0.5238153578199348,0.36363636363636365
34,0.5284212192975185,0.38235294117647056
35,0.5325872541365267,0.4
36,0.5325872541365267,0.3888888888888889
37,0.5325872541365267,0.3783783783783784
38,0.5376833440844708,0.39473684210526316
39,0.5376833440844708,0.38461538461538464
40,0.5376833440844708,0.375
41,0.5376833440844708,0.36585365853658536
42,0.5400761448068998,0.38095238095238093
43,0.5400761448068998,0.37209302325581395
44,0.5400761448068998,0.36363636363636365
45,0.5400761448068998,0.35555555555555557
46,0.5400761448068998,0.34782608695652173
47,0.5400761448068998,0.3404255319148936
48,0.5400761448068998,0.3333333333333333
49,0.5400761448068998,0.32653061224489793
50,0.543731157206731,0.34
51,0.543731157206731,0.3333333333333333
52,0.5469852693199343,0.34615384615384615
53,0.5469852693199343,0.33962264150943394
54,0.5469852693199343,0.3333333333333333
55,0.5469852693199343,0.32727272727272727
56,0.5469852693199343,0.32142857142857145
57,0.5469852693199343,0.3157894736842105
58,0.5469852693199343,0.3103448275862069
59,0.5469852693199343,0.3050847457627119
60,0.5500942578605938,0.31666666666666665
61,0.5500942578605938,0.3114754098360656
62,0.5508713210512569,0.3225806451612903
63,0.5526410442060912,0.3333333333333333
64,0.5553875729965077,0.34375
65,0.5553875729965077,0.3384615384615385
66,0.5553875729965077,0.3333333333333333
67,0.5553875729965077,0.3283582089552239
68,0.5553875729965077,0.3235294117647059
69,0.5553875729965077,0.3188405797101449
70,0.546152450729043,0.32857142857142857
71,0.546152450729043,0.323943661971831
72,0.546152450729043,0.3194444444444444
73,0.546152450729043,0.3150684931506849
74,0.5484535468994793,0.32432432432432434
75,0.5484535468994793,0.32
