N,NDCG,PRECISION
1,0.03663003663003663,1.0
2,0.022459604130602877,0.5
3,0.017189696923910498,0.3333333333333333
4,0.01429963553084622,0.25
5,0.012501558741849468,0.2
6,0.015195358306089776,0.3333333333333333
7,0.014041629246620986,0.2857142857142857
8,0.01310029020674216,0.25
9,0.012346373523322223,0.2222222222222222
10,0.011729065357682431,0.2
11,0.011215014387061172,0.18181818181818182
12,0.01075822633321453,0.16666666666666666
13,0.01639387775593978,0.23076923076923078
14,0.015836033430188693,0.21428571428571427
15,0.017144307124430713,0.26666666666666666
16,0.01834972240096805,0.3125
17,0.017843861059970947,0.29411764705882354
18,0.017373701264501554,0.2777777777777778
19,0.0169603102154601,0.2631578947368421
20,0.016572306839824608,0.25
21,0.01622946686722048,0.23809523809523808
22,0.015905094605831623,0.22727272727272727
23,0.015597527441795338,0.21739130434782608
24,0.0178032746158303,0.25
25,0.017500941558020275,0.24
26,0.017211996522922685,0.23076923076923078
27,0.01695489870104665,0.2222222222222222
28,0.01672667277517408,0.21428571428571427
29,0.018698583560305293,0.2413793103448276
30,0.020601196724520314,0.26666666666666666
31,0.020342029583165794,0.25806451612903225
32,0.021139520909386415,0.28125
33,0.020905266697086162,0.2727272727272727
34,0.02069845169865349,0.2647058823529412
35,0.020497267114762914,0.2571428571428571
36,0.021256826684609872,0.2777777777777778
37,0.021076925559196425,0.2702702702702703
38,0.022753106491936213,0.2894736842105263
39,0.02256634758326331,0.28205128205128205
40,0.0223838412865081,0.275
41,0.022205411909374907,0.2682926829268293
42,0.022904141464175895,0.2857142857142857
43,0.022726613088693153,0.27906976744186046
44,0.02257201642552235,0.2727272727272727
45,0.02242037843583256,0.26666666666666666
46,0.022271594418375788,0.2608695652173913
47,0.022125565329549027,0.2553191489361702
48,0.021982197367220253,0.25
49,0.021841401593247028,0.24489795918367346
50,0.02409680896386145,0.26
51,0.02396457321164348,0.2549019607843137
52,0.023834404966871465,0.25
53,0.026010745476376905,0.2641509433962264
54,0.025872262887376485,0.25925925925925924
55,0.02575525555678657,0.2545454545454545
56,0.02563980713725402,0.25
57,0.025525876997656155,0.24561403508771928
58,0.02541342619573755,0.2413793103448276
59,0.025302417379940472,0.23728813559322035
60,0.025192814698561435,0.23333333333333334
61,0.027232636330698626,0.2459016393442623
62,0.0285370164764513,0.25806451612903225
63,0.0312565373415103,0.2698412698412698
64,0.03114714685663987,0.265625
65,0.031038913855621048,0.26153846153846155
66,0.030931813528779793,0.25757575757575757
67,0.030825821937037104,0.2537313432835821
68,0.03142294054208978,0.2647058823529412
69,0.03133785278135182,0.2608695652173913
70,0.03125350543502844,0.2571428571428571
71,0.03116988455107722,0.2535211267605634
72,0.03108697662518663,0.25
73,0.034310334690071276,0.2602739726027397
74,0.03422012253146006,0.25675675675675674
75,0.034130657261007585,0.25333333333333335
