N,NDCG,PRECISION
1,0.6227106227106227,1.0
2,0.38181327022024886,0.5
3,0.515690907717315,0.6666666666666666
4,0.4289890659253866,0.5
5,0.38471928844366804,0.6
6,0.37672639902606236,0.6666666666666666
7,0.35502531587743136,0.7142857142857143
8,0.3738860007620814,0.75
9,0.3551094625830623,0.7777777777777778
10,0.33735429176027837,0.7
11,0.327182409432244,0.7272727272727273
12,0.34601155440060727,0.75
13,0.33551238732774563,0.7692307692307693
14,0.3392190838677346,0.7857142857142857
15,0.3306855761697199,0.8
16,0.35684798744662893,0.8125
17,0.34701047614714764,0.7647058823529411
18,0.3425169980512057,0.7777777777777778
19,0.34328990084533073,0.7894736842105263
20,0.3397258736164652,0.8
21,0.33545612327088725,0.8095238095238095
22,0.33807857914251616,0.8181818181818182
23,0.33540846380818473,0.8260869565217391
24,0.3291246806753469,0.7916666666666666
25,0.32353552512635325,0.76
26,0.33234551907820337,0.7692307692307693
27,0.3285302409697699,0.7777777777777778
28,0.3285948942726916,0.7857142857142857
29,0.3242734334059913,0.7586206896551724
30,0.3201038389214837,0.7333333333333333
31,0.31817356885792614,0.7419354838709677
32,0.32074211293564536,0.75
33,0.317187860625987,0.7272727272727273
34,0.3140499333348049,0.7058823529411765
35,0.310997434235902,0.6857142857142857
36,0.30898159006840176,0.6944444444444444
37,0.3063666119905315,0.6756756756756757
38,0.30844314951232604,0.6842105263157895
39,0.3214155461214359,0.6923076923076923
40,0.3206133158916262,0.7
41,0.3180575957396239,0.6829268292682927
42,0.3216706383343361,0.6904761904761905
43,0.34268854349586647,0.6976744186046512
44,0.3488604848707106,0.7045454545454546
45,0.35071558014260545,0.7111111111111111
46,0.3699555401178925,0.717391304347826
47,0.372447393424293,0.723404255319149
48,0.3765137726159113,0.7291666666666666
49,0.37650407691609034,0.7346938775510204
50,0.3767928018218081,0.74
51,0.37472508075326544,0.7254901960784313
52,0.3734656449090176,0.7307692307692307
53,0.37683462777457727,0.7358490566037735
54,0.37558891923044496,0.7407407407407407
55,0.3753978183078138,0.7454545454545455
56,0.3767034364224527,0.75
57,0.3831759518594489,0.7543859649122807
58,0.3814879219803393,0.7413793103448276
59,0.38273361606716955,0.7457627118644068
60,0.3897391416468614,0.75
61,0.40761206007966655,0.7540983606557377
62,0.4122670287035357,0.7580645161290323
63,0.4122237856170571,0.7619047619047619
64,0.42478015343892483,0.765625
65,0.42330408787852086,0.7538461538461538
66,0.4218434695599833,0.7424242424242424
67,0.427251213355051,0.746268656716418
68,0.4260872092247271,0.7352941176470589
69,0.42967213071317006,0.7391304347826086
70,0.42851564739353637,0.7285714285714285
71,0.4313824768085955,0.7323943661971831
72,0.43023505432266557,0.7222222222222222
73,0.4304195444347432,0.726027397260274
74,0.4312598172856764,0.7297297297297297
75,0.4399363492804135,0.7333333333333333
