N,NDCG,PRECISION
1,1.0,1.0
2,1.0,0.5
3,0.6378925957852645,0.6666666666666666
4,0.6378925957852645,0.5
5,0.6378925957852645,0.4
6,0.6407999267583262,0.5
7,0.6407999267583262,0.42857142857142855
8,0.6383322249081067,0.5
9,0.6383322249081067,0.4444444444444444
10,0.6383322249081067,0.4
11,0.6383322249081067,0.36363636363636365
12,0.5399871287492775,0.4166666666666667
13,0.5399871287492775,0.38461538461538464
14,0.5399871287492775,0.35714285714285715
15,0.5399871287492775,0.3333333333333333
16,0.5269199414791828,0.375
17,0.5269199414791828,0.35294117647058826
18,0.5342626301453621,0.3888888888888889
19,0.5415447432615739,0.42105263157894735
20,0.5415447432615739,0.4
21,0.5415447432615739,0.38095238095238093
22,0.547538308081713,0.4090909090909091
23,0.5559149056723067,0.43478260869565216
24,0.5559149056723067,0.4166666666666667
25,0.5559149056723067,0.4
26,0.5559149056723067,0.38461538461538464
27,0.5559149056723067,0.37037037037037035
28,0.4785031415406232,0.39285714285714285
29,0.4785031415406232,0.3793103448275862
30,0.4785031415406232,0.36666666666666664
31,0.4785031415406232,0.3548387096774194
32,0.4785031415406232,0.34375
33,0.4785031415406232,0.3333333333333333
34,0.4785031415406232,0.3235294117647059
35,0.4785031415406232,0.3142857142857143
36,0.4785031415406232,0.3055555555555556
37,0.4785031415406232,0.2972972972972973
38,0.4785031415406232,0.2894736842105263
39,0.4840044699852942,0.3076923076923077
40,0.4693063228531663,0.325
41,0.4693063228531663,0.3170731707317073
42,0.4693063228531663,0.30952380952380953
43,0.47351530159015254,0.32558139534883723
44,0.47437648113425707,0.3409090909090909
45,0.480876119320805,0.35555555555555557
46,0.480876119320805,0.34782608695652173
47,0.4841675273760563,0.3617021276595745
48,0.48788075833633704,0.375
49,0.48788075833633704,0.3673469387755102
50,0.48788075833633704,0.36
51,0.48788075833633704,0.35294117647058826
52,0.48788075833633704,0.34615384615384615
53,0.48788075833633704,0.33962264150943394
54,0.48788075833633704,0.3333333333333333
55,0.48788075833633704,0.32727272727272727
56,0.4849006906958438,0.3392857142857143
57,0.48765427704772163,0.3508771929824561
58,0.48765427704772163,0.3448275862068966
59,0.48765427704772163,0.3389830508474576
60,0.48765427704772163,0.3333333333333333
61,0.4922847996841871,0.3442622950819672
62,0.4922847996841871,0.3387096774193548
63,0.4922847996841871,0.3333333333333333
64,0.4922847996841871,0.328125
65,0.4922847996841871,0.3230769230769231
66,0.4922847996841871,0.3181818181818182
67,0.49398562812511837,0.3283582089552239
68,0.49398562812511837,0.3235294117647059
69,0.49398562812511837,0.3188405797101449
70,0.49398562812511837,0.3142857142857143
71,0.49398562812511837,0.30985915492957744
72,0.49398562812511837,0.3055555555555556
73,0.49398562812511837,0.3013698630136986
74,0.49398562812511837,0.2972972972972973
75,0.4949423686199701,0.30666666666666664
