N,NDCG,PRECISION
1,0.07326007326007326,1.0
2,0.044919208261205754,0.5
3,0.10313818154346298,0.6666666666666666
4,0.0857978131850773,0.5
5,0.07984561554518879,0.6
6,0.0835334051087675,0.6666666666666666
7,0.07719101324350033,0.5714285714285714
8,0.08115789623526032,0.625
9,0.0764872903939075,0.5555555555555556
10,0.0726629909882051,0.5
11,0.07178507220367365,0.5454545454545454
12,0.07957969610223217,0.5833333333333334
13,0.07670311400956685,0.5384615384615384
14,0.07409309107572055,0.5
15,0.07183815531437757,0.4666666666666667
16,0.07656550633543542,0.5
17,0.07445476433822013,0.47058823529411764
18,0.07404290402439809,0.5
19,0.07674251001004853,0.5263157894736842
20,0.07498686093521635,0.5
21,0.07343556855346299,0.47619047619047616
22,0.07596516432981146,0.5
23,0.07578535322985089,0.5217391304347826
24,0.07436553597498806,0.5
25,0.07310266943093059,0.48
26,0.07543363772286546,0.5
27,0.07430687570377568,0.48148148148148145
28,0.07442837873874977,0.5
29,0.07344954634756679,0.4827586206896552
30,0.07250511244768278,0.4666666666666667
31,0.07264133361436623,0.4838709677419355
32,0.07490254157659475,0.5
33,0.07407252106896246,0.48484848484848486
34,0.07333972447034663,0.47058823529411764
35,0.07262687782050875,0.45714285714285713
36,0.07193300934486399,0.4444444444444444
37,0.07132422471639983,0.43243243243243246
38,0.07072986676970441,0.42105263157894735
39,0.07470934608020316,0.4358974358974359
40,0.07500374690455594,0.45
41,0.07440586597466826,0.43902439024390244
42,0.07382109381637172,0.42857142857142855
43,0.07669376911205496,0.4418604651162791
44,0.07702236986204308,0.45454545454545453
45,0.07818442732296917,0.4666666666666667
46,0.07766558714223978,0.45652173913043476
47,0.07879553934998783,0.46808510638297873
48,0.08071486793317079,0.4791666666666667
49,0.08019788993902613,0.46938775510204084
50,0.07975317501738623,0.46
51,0.07931551453271327,0.45098039215686275
52,0.07888469687455041,0.4423076923076923
53,0.0784605203071112,0.4339622641509434
54,0.07804279233401958,0.42592592592592593
55,0.07768984374028672,0.41818181818181815
56,0.07883577051131911,0.42857142857142855
57,0.08218837032606827,0.43859649122807015
58,0.08182630056633393,0.43103448275862066
59,0.081468873722076,0.423728813559322
60,0.08111597435776668,0.4166666666666667
61,0.09293978974846619,0.4262295081967213
62,0.09254374747321033,0.41935483870967744
63,0.09221751710628506,0.4126984126984127
64,0.09189477761663574,0.40625
65,0.09157545310177137,0.4
66,0.09125947036463511,0.3939393939393939
67,0.09163208291165797,0.40298507462686567
68,0.0913824402666628,0.39705882352941174
69,0.09113499279424546,0.391304347826087
70,0.09088969855366591,0.38571428571428573
71,0.09064651697037385,0.38028169014084506
72,0.09040540877188487,0.375
73,0.09082744914956727,0.3835616438356164
74,0.09058863654913804,0.3783783783783784
75,0.09361980778768181,0.38666666666666666
