N,NDCG,PRECISION
1,0.10989010989010989,1.0
2,0.06737881239180862,0.5
3,0.05156909077173149,0.3333333333333333
4,0.04289890659253865,0.25
5,0.03750467622554841,0.2
6,0.03361291353681521,0.16666666666666666
7,0.03796320679738152,0.2857142857142857
8,0.053701592745270935,0.375
9,0.05061108665281459,0.3333333333333333
10,0.04808057540563189,0.3
11,0.0459733430131459,0.2727272727272727
12,0.04624453327019579,0.3333333333333333
13,0.04457292351539327,0.3076923076923077
14,0.05817959194982804,0.35714285714285715
15,0.05819918942632562,0.4
16,0.07182724689876774,0.4375
17,0.06984712825487895,0.4117647058823529
18,0.06955667245274082,0.4444444444444444
19,0.06790163617950738,0.42105263157894735
20,0.06920788338985732,0.45
21,0.07053448008604073,0.47619047619047616
22,0.07045717555128693,0.5
23,0.06909469930028932,0.4782608695652174
24,0.06780022956299624,0.4583333333333333
25,0.06664885425893977,0.44
26,0.07262428881431134,0.46153846153846156
27,0.07268850036919972,0.48148148148148145
28,0.07171005746667591,0.4642857142857143
29,0.0707669746236604,0.4482758620689655
30,0.06985703394804954,0.43333333333333335
31,0.0689782186037801,0.41935483870967744
32,0.06819868308110055,0.40625
33,0.06744295030676015,0.3939393939393939
34,0.06677573979640909,0.38235294117647056
35,0.06612669369283992,0.37142857142857144
36,0.06645031519658244,0.3888888888888889
37,0.06588793179546083,0.3783783783783784
38,0.06533887548241053,0.3684210526315789
39,0.06480256994174362,0.358974358974359
40,0.06427847639861926,0.35
41,0.06376609032689576,0.34146341463414637
42,0.06501143211587913,0.35714285714285715
43,0.07914817688262545,0.37209302325581395
44,0.08371161327903216,0.38636363636363635
45,0.08314924168971466,0.37777777777777777
46,0.10416480036353194,0.391304347826087
47,0.10348181868744874,0.3829787234042553
48,0.10281128316610404,0.375
49,0.10455464941894983,0.3877551020408163
50,0.10555921940851751,0.4
51,0.10497994342210118,0.39215686274509803
52,0.10440972442212829,0.38461538461538464
53,0.10384829539638096,0.37735849056603776
54,0.10329540156168358,0.37037037037037035
55,0.10282824802155614,0.36363636363636365
56,0.10236731845744387,0.35714285714285715
57,0.10191245064897389,0.3508771929824561
58,0.10146348911860141,0.3448275862068966
59,0.10102028473966627,0.3389830508474576
60,0.10924611018359932,0.35
61,0.10877677739825431,0.3442622950819672
62,0.11470516621814697,0.3548387096774194
63,0.11430081357968912,0.3492063492063492
64,0.12579998328021647,0.359375
65,0.12536284180522989,0.35384615384615387
66,0.12493027507968199,0.3484848484848485
67,0.12724348295593624,0.3582089552238806
68,0.12689682053559004,0.35294117647058826
69,0.12655320640789003,0.34782608695652173
70,0.12621258233247243,0.34285714285714286
71,0.12921935216294694,0.352112676056338
72,0.12887564513204022,0.3472222222222222
73,0.1285348395600779,0.3424657534246575
74,0.13016885782691742,0.35135135135135137
75,0.1311357463331127,0.36
