N,NDCG,PRECISION
1,1.0,1.0
2,1.0,0.5
3,0.8412557802662286,0.6666666666666666
4,0.8412557802662286,0.5
5,0.8412557802662286,0.4
6,0.8195054239321223,0.5
7,0.8195054239321223,0.42857142857142855
8,0.8195054239321223,0.375
9,0.8005467756425694,0.4444444444444444
10,0.8005467756425694,0.4
11,0.8005467756425694,0.36363636363636365
12,0.8005467756425694,0.3333333333333333
13,0.7671627988770149,0.38461538461538464
14,0.7671627988770149,0.35714285714285715
15,0.7671627988770149,0.3333333333333333
16,0.7497740499347819,0.375
17,0.7497740499347819,0.35294117647058826
18,0.7497740499347819,0.3333333333333333
19,0.7497740499347819,0.3157894736842105
20,0.6823318392022727,0.35
21,0.6823318392022727,0.3333333333333333
22,0.6823318392022727,0.3181818181818182
23,0.6823318392022727,0.30434782608695654
24,0.6823318392022727,0.2916666666666667
25,0.6823318392022727,0.28
26,0.6823318392022727,0.2692307692307692
27,0.6823318392022727,0.25925925925925924
28,0.6823318392022727,0.25
29,0.6823318392022727,0.2413793103448276
30,0.6823318392022727,0.23333333333333334
31,0.6823318392022727,0.22580645161290322
32,0.6823318392022727,0.21875
33,0.6823318392022727,0.21212121212121213
34,0.6823318392022727,0.20588235294117646
35,0.6823318392022727,0.2
36,0.6823318392022727,0.19444444444444445
37,0.6823318392022727,0.1891891891891892
38,0.6152581294065655,0.21052631578947367
39,0.6043470177006973,0.23076923076923078
40,0.6043470177006973,0.225
41,0.6043470177006973,0.21951219512195122
42,0.6042618011198713,0.23809523809523808
43,0.6048804113385148,0.2558139534883721
44,0.6056005675636308,0.2727272727272727
45,0.6056005675636308,0.26666666666666666
46,0.6056005675636308,0.2608695652173913
47,0.6056005675636308,0.2553191489361702
48,0.6056005675636308,0.25
49,0.6056005675636308,0.24489795918367346
50,0.6056005675636308,0.24
51,0.6056005675636308,0.23529411764705882
52,0.6062743143674906,0.25
53,0.6070779282635487,0.2641509433962264
54,0.6021825942301905,0.2777777777777778
55,0.5350347550009321,0.2909090909090909
56,0.5350347550009321,0.2857142857142857
57,0.535676354130588,0.2982456140350877
58,0.535676354130588,0.29310344827586204
59,0.5249110355808113,0.3050847457627119
60,0.5249110355808113,0.3
61,0.5249110355808113,0.29508196721311475
62,0.5249110355808113,0.2903225806451613
63,0.5249110355808113,0.2857142857142857
64,0.525333708796665,0.296875
65,0.525333708796665,0.2923076923076923
66,0.525333708796665,0.2878787878787879
67,0.525333708796665,0.2835820895522388
68,0.525333708796665,0.27941176470588236
69,0.5261102364143271,0.2898550724637681
70,0.5261102364143271,0.2857142857142857
71,0.5261102364143271,0.28169014084507044
72,0.5261102364143271,0.2777777777777778
73,0.5261102364143271,0.273972602739726
74,0.5261102364143271,0.2702702702702703
75,0.5264290286826208,0.28
