N,NDCG,PRECISION
1,0.14652014652014653,1.0
2,0.08983841652241151,0.5
3,0.06875878769564199,0.3333333333333333
4,0.18652741617809065,0.5
5,0.24528940164629515,0.6
6,0.2198363585236763,0.5
7,0.20314497224324105,0.42857142857142855
8,0.18952630379893065,0.375
9,0.17861913761207843,0.3333333333333333
10,0.18968799226889674,0.4
11,0.18829458594768061,0.45454545454545453
12,0.18276902540821754,0.5
13,0.19624420952592359,0.5384615384615384
14,0.1895664899299067,0.5
15,0.18737770694376463,0.5333333333333333
16,0.1853610093214454,0.5625
17,0.1818726503220674,0.5882352941176471
18,0.18173031384022112,0.6111111111111112
19,0.17889333950956082,0.631578947368421
20,0.21197612270581342,0.65
21,0.20759086187256906,0.6190476190476191
22,0.203441821250337,0.5909090909090909
23,0.22013456179731958,0.6086956521739131
24,0.21725938399201047,0.625
25,0.22206085096083306,0.64
26,0.21839456934038654,0.6153846153846154
27,0.21513238136514556,0.5925925925925926
28,0.22233210928063354,0.6071428571428571
29,0.23036758982300173,0.6206896551724138
30,0.24347829589918013,0.6333333333333333
31,0.24880208954927163,0.6451612903225806
32,0.26037365618305636,0.65625
33,0.25849576176807787,0.6666666666666666
34,0.2589063615986976,0.6764705882352942
35,0.25736182528741985,0.6857142857142857
36,0.2606353492928589,0.6944444444444444
37,0.2584295359155377,0.6756756756756757
38,0.27386827389400303,0.6842105263157895
39,0.2725323530116917,0.6923076923076923
40,0.2757199310521307,0.7
41,0.28326482971840283,0.7073170731707317
42,0.2827850823642662,0.7142857142857143
43,0.29351145034037873,0.7209302325581395
44,0.2923651595214597,0.7272727272727273
45,0.290401060957583,0.7111111111111111
46,0.2926214951277726,0.717391304347826
47,0.2907028516080533,0.7021276595744681
48,0.2888191720338844,0.6875
49,0.2933742787611911,0.6938775510204082
50,0.291747453922163,0.68
51,0.2901464351281421,0.6666666666666666
52,0.29167427381087574,0.6730769230769231
53,0.2970193977303725,0.6792452830188679
54,0.30304384078072144,0.6851851851851852
55,0.3046883253155178,0.6909090909090909
56,0.3033225541419358,0.6785714285714286
57,0.30419648773833186,0.6842105263157895
58,0.3229008013956645,0.6896551724137931
59,0.32149033295639234,0.6779661016949152
60,0.3229855360097268,0.6833333333333333
61,0.32446202631268284,0.6885245901639344
62,0.33444281126379066,0.6935483870967742
63,0.33890408711784914,0.6984126984126984
64,0.3391179083566114,0.703125
65,0.3386344885176707,0.7076923076923077
66,0.3471274741930638,0.7121212121212122
67,0.34799397241804925,0.7164179104477612
68,0.34704589688646303,0.7058823529411765
69,0.35084484825742596,0.7101449275362319
70,0.35259208074280607,0.7142857142857143
71,0.3543242647564633,0.7183098591549296
72,0.3587015527657896,0.7222222222222222
73,0.3703141346266491,0.726027397260274
74,0.3726270925599354,0.7297297297297297
75,0.37296009696697596,0.7333333333333333
