N,NDCG,PRECISION
1,0.03663003663003663,1.0
2,0.022459604130602877,0.5
3,0.017189696923910498,0.3333333333333333
4,0.0389337067793616,0.5
5,0.04371059808800171,0.6
6,0.03917486303144318,0.5
7,0.036200456178399634,0.42857142857142855
8,0.03377360797840528,0.375
9,0.03182994977600149,0.3333333333333333
10,0.032738436818951513,0.4
11,0.03361029563361157,0.45454545454545453
12,0.032241346740474144,0.4166666666666667
13,0.0330840897875947,0.46153846153846156
14,0.03195831759169295,0.42857142857142855
15,0.030985703922002502,0.4
16,0.03008955858118132,0.375
17,0.02926005587147906,0.35294117647058826
18,0.028489095940905606,0.3333333333333333
19,0.027811224422456222,0.3157894736842105
20,0.03432408913579924,0.35
21,0.03361400876541289,0.3333333333333333
22,0.03294217819163081,0.3181818181818182
23,0.03875103742687493,0.34782608695652173
24,0.038025047651309166,0.3333333333333333
25,0.04101828498910936,0.36
26,0.040341062580444745,0.34615384615384615
27,0.03973848290249836,0.3333333333333333
28,0.040325302987848644,0.35714285714285715
29,0.04198686032942582,0.3793103448275862
30,0.04466154888089167,0.4
31,0.04619639746420363,0.41935483870967744
32,0.046701703828451485,0.4375
33,0.046184186383741756,0.42424242424242425
34,0.04671658415555544,0.4411764705882353
35,0.046262508813063236,0.42857142857142855
36,0.04868668635596861,0.4444444444444444
37,0.04827464039078079,0.43243243243243246
38,0.051575996588010105,0.4473684210526316
39,0.0511526576105431,0.4358974358974359
40,0.05163757415572979,0.45
41,0.0512259531084152,0.43902439024390244
42,0.05169660381096986,0.4523809523809524
43,0.05387955011989742,0.46511627906976744
44,0.053513037141075054,0.45454545454545453
45,0.053153538493666115,0.4444444444444444
46,0.053630319258699106,0.45652173913043476
47,0.053278679115307565,0.44680851063829785
48,0.052933447002746395,0.4375
49,0.05419565648026018,0.4489795918367347
50,0.053895129656634684,0.44
51,0.05359937003876502,0.43137254901960786
52,0.05486014739090278,0.4423076923076923
53,0.05533332235335706,0.4528301886792453
54,0.05579930381757847,0.46296296296296297
55,0.056300701558973744,0.4727272727272727
56,0.0560483326007537,0.4642857142857143
57,0.0565398636865668,0.47368421052631576
58,0.06216460478985584,0.4827586206896552
59,0.0618930625306947,0.4745762711864407
60,0.061624959862468916,0.4666666666666667
61,0.06279224762684177,0.47540983606557374
62,0.06465531137465085,0.4838709677419355
63,0.06583745089032536,0.49206349206349204
64,0.0656070353904625,0.484375
65,0.06537905796572628,0.47692307692307695
66,0.06722377707846293,0.48484848484848486
67,0.0669934266940966,0.47761194029850745
68,0.06681090965742366,0.47058823529411764
69,0.06662999754043061,0.463768115942029
70,0.06712354677019726,0.4714285714285714
71,0.0669439531458426,0.4647887323943662
72,0.06876079529740416,0.4722222222222222
73,0.07056230027969894,0.4794520547945205
74,0.07103409580061773,0.4864864864864865
75,0.07150198521294375,0.49333333333333335
