N,NDCG,PRECISION
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.05542666030915962,0.25
5,0.06296594388770457,0.4
6,0.0564321316876113,0.3333333333333333
7,0.05214744231706359,0.2857142857142857
8,0.048651521550269826,0.25
9,0.045851645120689975,0.2222222222222222
10,0.04355910189837837,0.2
11,0.0439567222961467,0.2727272727272727
12,0.04216636296729026,0.25
13,0.05269122966010339,0.3076923076923077
14,0.050898273538292224,0.2857142857142857
15,0.051139469345180925,0.3333333333333333
16,0.04966045188276951,0.3125
17,0.04991305770345667,0.35294117647058826
18,0.051697750153476725,0.3888888888888889
19,0.05195477963315279,0.42105263157894735
20,0.05076620291362523,0.4
21,0.04971597594254972,0.38095238095238093
22,0.0487223213958184,0.36363636363636365
23,0.0477801461627656,0.34782608695652173
24,0.0468849985772419,0.3333333333333333
25,0.0473017945650501,0.36
26,0.046520829801213505,0.34615384615384615
27,0.045825942139702015,0.3333333333333333
28,0.04520908985068358,0.32142857142857145
29,0.04899830771334648,0.3448275862068966
30,0.049439796650466036,0.36666666666666664
31,0.049866184065233944,0.3870967741935484
32,0.049302637156569705,0.375
33,0.04875629788611305,0.36363636363636365
34,0.04827395370859031,0.35294117647058826
35,0.04877671996622874,0.37142857142857144
36,0.04831071303676162,0.3611111111111111
37,0.04790184901515618,0.35135135135135137
38,0.04842858347852913,0.3684210526315789
39,0.048943085551363404,0.38461538461538464
40,0.04854725626340289,0.375
41,0.0570173219843835,0.3902439024390244
42,0.05656921023942446,0.38095238095238093
43,0.05785317498253112,0.3953488372093023
44,0.05745963161682013,0.38636363636363635
45,0.05707361989051114,0.37777777777777777
46,0.05669487327468509,0.3695652173913043
47,0.05632313964260081,0.3617021276595745
48,0.055958180210276855,0.3541666666666667
49,0.05559976857556977,0.3469387755102041
50,0.05529145564184944,0.34
51,0.054988033423621636,0.3333333333333333
52,0.05468935521512593,0.3269230769230769
53,0.05439528115653499,0.32075471698113206
54,0.05714799382681605,0.3333333333333333
55,0.05688954197684249,0.32727272727272727
56,0.056634533530326554,0.32142857142857145
57,0.056382878739140746,0.3157894736842105
58,0.05686871906471351,0.3275862068965517
59,0.05662030985335226,0.3220338983050847
60,0.05637504720957976,0.31666666666666665
61,0.05613285407440669,0.3114754098360656
62,0.05589365638196087,0.3064516129032258
63,0.05569662299474516,0.30158730158730157
64,0.05690160334626709,0.3125
65,0.056703876365966285,0.3076923076923077
66,0.060648840068211626,0.3181818181818182
67,0.060441019498939264,0.31343283582089554
68,0.06027635385460957,0.3088235294117647
69,0.06011313615803316,0.30434782608695654
70,0.05995133874487013,0.3
71,0.059790934851926776,0.29577464788732394
72,0.0596318985748591,0.2916666666666667
73,0.06344088416045625,0.3013698630136986
74,0.06327407905184929,0.2972972972972973
75,0.063108654962856,0.29333333333333333
