N,NDCG,PRECISION
1,1.0,1.0
2,1.0,0.5
3,1.0,0.3333333333333333
4,1.0,0.25
5,0.9904772496088282,0.4
6,0.9904772496088282,0.3333333333333333
7,0.9904772496088282,0.2857142857142857
8,0.9904772496088282,0.25
9,0.9904772496088282,0.2222222222222222
10,0.9904772496088282,0.2
11,0.9904772496088282,0.18181818181818182
12,0.898597565582537,0.25
13,0.898597565582537,0.23076923076923078
14,0.898597565582537,0.21428571428571427
15,0.8207199347498049,0.26666666666666666
16,0.8207199347498049,0.25
17,0.8207199347498049,0.23529411764705882
18,0.8207199347498049,0.2222222222222222
19,0.8207199347498049,0.21052631578947367
20,0.8034431859055389,0.25
21,0.8034431859055389,0.23809523809523808
22,0.8034431859055389,0.22727272727272727
23,0.7863772010577017,0.2608695652173913
24,0.7863772010577017,0.25
25,0.7863772010577017,0.24
26,0.7863772010577017,0.23076923076923078
27,0.7863772010577017,0.2222222222222222
28,0.7798029222443356,0.25
29,0.7798029222443356,0.2413793103448276
30,0.771241933305772,0.26666666666666666
31,0.745884222317922,0.2903225806451613
32,0.7395251980073934,0.3125
33,0.6772963863588018,0.3333333333333333
34,0.6772963863588018,0.3235294117647059
35,0.6772963863588018,0.3142857142857143
36,0.6772963863588018,0.3055555555555556
37,0.6772963863588018,0.2972972972972973
38,0.6772936884917796,0.3157894736842105
39,0.6772936884917796,0.3076923076923077
40,0.6720606315583022,0.325
41,0.6720606315583022,0.3170731707317073
42,0.6720606315583022,0.30952380952380953
43,0.6721600051967288,0.32558139534883723
44,0.6686314030080238,0.3409090909090909
45,0.6686314030080238,0.3333333333333333
46,0.6686314030080238,0.32608695652173914
47,0.6686314030080238,0.3191489361702128
48,0.6686314030080238,0.3125
49,0.6686314030080238,0.30612244897959184
50,0.6686314030080238,0.3
51,0.6686314030080238,0.29411764705882354
52,0.6686314030080238,0.28846153846153844
53,0.6686314030080238,0.2830188679245283
54,0.6683120449560989,0.2962962962962963
55,0.6683120449560989,0.2909090909090909
56,0.6683120449560989,0.2857142857142857
57,0.6683120449560989,0.2807017543859649
58,0.6657545119123129,0.29310344827586204
59,0.6657545119123129,0.288135593220339
60,0.6657545119123129,0.2833333333333333
61,0.6657545119123129,0.2786885245901639
62,0.6657545119123129,0.27419354838709675
63,0.6657545119123129,0.2698412698412698
64,0.6657545119123129,0.265625
65,0.6401228141655637,0.27692307692307694
66,0.6405169016123311,0.2878787878787879
67,0.6405169016123311,0.2835820895522388
68,0.6405169016123311,0.27941176470588236
69,0.6405169016123311,0.2753623188405797
70,0.640854290746413,0.2857142857142857
71,0.640854290746413,0.28169014084507044
72,0.6411949521004836,0.2916666666666667
73,0.6411949521004836,0.2876712328767123
74,0.6411949521004836,0.28378378378378377
75,0.6411949521004836,0.28
